UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Failure Type,Machine failure
60,L47239,L,298.8,309.1,1178,54.4,165,0,0,0,0,0,No Failure,0
61,L47240,L,298.8,309.1,1193,52.6,167,0,0,0,0,0,No Failure,0
62,M14921,M,298.8,309.0,1392,38.2,169,0,0,0,0,0,No Failure,0
63,L47242,L,298.8,309.0,1629,22.9,172,0,0,0,0,0,No Failure,0
64,M14923,M,298.9,309.0,1612,25.9,174,0,0,0,0,0,No Failure,0
65,L47244,L,299.0,309.1,1323,38.6,177,0,0,0,0,0,No Failure,0
66,L47245,L,299.0,309.1,1194,45.1,179,0,0,0,0,0,No Failure,0
67,M14926,M,298.9,308.9,1479,28.7,181,0,0,0,0,0,No Failure,0
68,H29481,H,298.8,308.9,1266,44.1,184,0,0,0,0,0,No Failure,0
69,L47248,L,298.8,308.9,1327,32.4,189,0,0,0,0,0,No Failure,0
70,L47249,L,298.9,309.0,1210,65.7,191,0,0,0,1,0,OSF,1
71,M14930,M,298.9,309.0,1724,22.6,193,0,0,0,0,0,No Failure,0
72,L47251,L,298.9,309.1,1252,45.5,196,0,0,0,0,0,No Failure,0
73,L47252,L,298.9,309.1,1169,44.4,198,0,0,0,0,0,No Failure,0
74,L47253,L,299.0,309.1,1392,35.0,200,1,0,0,0,0,TWF,1
75,L47254,L,298.9,309.0,1401,32.3,202,1,0,0,0,0,TWF,1
76,L47255,L,298.8,308.9,1179,46.7,204,1,0,0,0,0,TWF,1
77,L47256,L,298.8,308.9,1261,47.9,206,1,0,0,0,0,TWF,1
78,L47257,L,298.8,308.9,1255,41.3,208,1,0,0,0,0,TWF,1
79,L47258,L,298.8,308.9,1198,51.5,0,0,0,0,0,0,No Failure,0
80,L47259,L,298.8,308.9,1202,37.9,2,0,0,0,0,0,No Failure,0
81,H29494,H,298.8,308.8,1245,49.9,4,0,0,0,0,0,No Failure,0
82,L47261,L,298.9,308.9,1250,47.5,9,0,0,0,0,0,No Failure,0
83,L47262,L,298.9,308.9,1253,40.8,11,0,0,0,0,0,No Failure,0
84,L47263,L,299.0,309.0,1269,40.1,13,0,0,0,0,0,No Failure,0
85,L47264,L,298.9,308.9,1222,47.6,15,0,0,0,0,0,No Failure,0
86,M14945,M,299.0,309.0,1604,26.8,17,0,0,0,0,0,No Failure,0
87,H29500,H,299.0,309.0,1236,43.9,20,0,0,0,0,0,No Failure,0
88,L47267,L,299.0,309.0,1344,31.8,25,0,0,0,0,0,No Failure,0
89,M14948,M,299.0,309.0,1219,45.2,27,0,0,0,0,0,No Failure,0
90,M14949,M,298.9,308.9,1287,39.5,30,0,0,0,0,0,No Failure,0
91,L47270,L,298.9,308.9,1553,25.8,33,0,0,0,0,0,No Failure,0
92,L47271,L,298.9,308.9,1630,24.9,35,0,0,0,0,0,No Failure,0
93,M14952,M,298.9,308.9,1527,27.1,37,0,0,0,0,0,No Failure,0
94,L47273,L,299.1,309.0,1250,43.0,40,0,0,0,0,0,No Failure,0
95,L47274,L,299.0,308.9,1422,31.9,42,0,0,0,0,0,No Failure,0
96,M14955,M,299.0,309.0,1151,52.2,44,0,0,0,0,0,No Failure,0
97,M14956,M,299.0,309.0,1375,35.3,47,0,0,0,0,0,No Failure,0
98,M14957,M,298.9,308.9,1550,29.9,50,0,0,0,0,0,No Failure,0
99,L47278,L,298.9,308.8,1329,32.7,53,0,0,0,0,0,No Failure,0
100,L47279,L,298.8,308.8,1323,44.4,55,0,0,0,0,0,No Failure,0
101,L47280,L,298.8,308.9,1652,25.0,57,0,0,0,0,0,No Failure,0
102,L47281,L,298.8,308.8,1791,20.7,59,0,0,0,0,0,No Failure,0
103,L47282,L,298.8,308.8,1355,40.6,61,0,0,0,0,0,No Failure,0
104,M14963,M,298.8,308.8,1241,40.5,63,0,0,0,0,0,No Failure,0
105,L47284,L,298.8,308.7,1250,43.4,66,0,0,0,0,0,No Failure,0
106,L47285,L,298.8,308.7,1391,31.1,68,0,0,0,0,0,No Failure,0
107,L47286,L,298.8,308.7,1245,48.5,70,0,0,0,0,0,No Failure,0
108,M14967,M,298.8,308.8,1297,46.8,72,0,0,0,0,0,No Failure,0
109,H29522,H,298.9,308.8,1421,32.7,75,0,0,0,0,0,No Failure,0
110,L47289,L,298.9,308.7,1372,34.1,80,0,0,0,0,0,No Failure,0
111,L47290,L,298.8,308.6,1672,22.5,82,0,0,0,0,0,No Failure,0
112,H29525,H,298.7,308.6,1299,43.5,84,0,0,0,0,0,No Failure,0
113,M14972,M,298.8,308.7,1298,39.5,89,0,0,0,0,0,No Failure,0
114,M14973,M,298.8,308.6,1286,41.9,92,0,0,0,0,0,No Failure,0
115,L47294,L,298.8,308.6,1480,29.4,95,0,0,0,0,0,No Failure,0
116,L47295,L,298.8,308.6,1231,45.7,97,0,0,0,0,0,No Failure,0
117,L47296,L,298.9,308.7,1364,34.1,99,0,0,0,0,0,No Failure,0
118,L47297,L,298.8,308.6,1399,33.0,101,0,0,0,0,0,No Failure,0
119,M14978,M,298.8,308.6,1507,28.1,103,0,0,0,0,0,No Failure,0
120,L47299,L,298.7,308.5,1267,40.7,106,0,0,0,0,0,No Failure,0
121,L47300,L,298.9,308.7,1233,44.7,108,0,0,0,0,0,No Failure,0
122,L47301,L,298.9,308.7,1358,41.2,110,0,0,0,0,0,No Failure,0
123,L47302,L,299.0,308.8,1110,50.7,112,0,0,0,0,0,No Failure,0
124,L47303,L,298.9,308.7,1346,43.4,114,0,0,0,0,0,No Failure,0
125,L47304,L,298.9,308.7,1527,29.4,116,0,0,0,0,0,No Failure,0
126,L47305,L,298.9,308.6,1360,32.2,118,0,0,0,0,0,No Failure,0
127,L47306,L,299.0,308.6,1129,60.5,120,0,0,0,0,0,No Failure,0
128,L47307,L,298.9,308.6,1213,46.5,122,0,0,0,0,0,No Failure,0
129,L47308,L,299.0,308.6,1387,38.6,124,0,0,0,0,0,No Failure,0
130,L47309,L,298.9,308.5,1359,34.3,126,0,0,0,0,0,No Failure,0
131,L47310,L,298.8,308.4,1273,41.1,128,0,0,0,0,0,No Failure,0
132,L47311,L,298.8,308.4,1537,27.7,130,0,0,0,0,0,No Failure,0
133,M14992,M,298.7,308.4,1241,43.2,132,0,0,0,0,0,No Failure,0
134,M14993,M,298.7,308.4,1230,49.6,135,0,0,0,0,0,No Failure,0
135,L47314,L,298.8,308.4,1169,53.0,138,0,0,0,0,0,No Failure,0
136,M14995,M,298.8,308.5,1511,28.5,140,0,0,0,0,0,No Failure,0
137,H29550,H,298.7,308.5,1220,45.7,143,0,0,0,0,0,No Failure,0
138,L47317,L,298.7,308.6,1097,55.3,148,0,0,0,0,0,No Failure,0
139,H29552,H,298.8,308.6,1249,49.4,150,0,0,0,0,0,No Failure,0
140,L47319,L,298.8,308.6,1068,55.8,155,0,0,0,0,0,No Failure,0
141,L47320,L,298.8,308.6,1311,36.1,157,0,0,0,0,0,No Failure,0
142,L47321,L,298.7,308.5,1344,35.2,159,0,0,0,0,0,No Failure,0
143,M15002,M,298.6,308.4,1578,28.2,161,0,0,0,0,0,No Failure,0
144,H29557,H,298.6,308.4,1207,50.5,164,0,0,0,0,0,No Failure,0
145,M15004,M,298.6,308.4,1191,42.4,169,0,0,0,0,0,No Failure,0
146,L47325,L,298.5,308.4,1313,33.6,172,0,0,0,0,0,No Failure,0
147,H29560,H,298.5,308.4,1412,36.1,174,0,0,0,0,0,No Failure,0
148,L47327,L,298.4,308.4,1315,40.1,179,0,0,0,0,0,No Failure,0
149,M15008,M,298.3,308.3,1179,48.0,181,0,0,0,0,0,No Failure,0
150,L47329,L,298.4,308.3,1273,39.9,184,0,0,0,0,0,No Failure,0
151,L47330,L,298.4,308.3,1222,42.7,186,0,0,0,0,0,No Failure,0
152,M15011,M,298.4,308.2,1263,37.6,188,0,0,0,0,0,No Failure,0
153,M15012,M,298.4,308.2,1384,41.0,191,0,0,0,0,0,No Failure,0
154,L47333,L,298.4,308.2,1650,27.0,194,0,0,0,0,0,No Failure,0
155,L47334,L,298.4,308.2,1328,36.2,196,0,0,0,0,0,No Failure,0
156,H29569,H,298.4,308.2,1787,19.8,198,0,0,0,0,0,No Failure,0
157,M15016,M,298.4,308.1,1295,46.0,203,1,0,0,0,0,TWF,1
158,H29571,H,298.4,308.2,1278,43.5,206,1,0,0,0,0,TWF,1
159,M15018,M,298.4,308.2,1299,40.0,211,1,0,0,0,0,TWF,1
160,L47339,L,298.4,308.2,1271,47.0,214,1,0,0,0,0,TWF,1
161,L47340,L,298.4,308.2,1082,60.7,216,1,0,0,1,0,TWF,1
162,L47341,L,298.3,308.1,1212,52.3,218,1,0,0,1,0,TWF,1
163,L47342,L,298.3,308.1,1386,35.5,0,0,0,0,0,0,No Failure,0
164,M15023,M,298.4,308.2,1268,43.8,2,0,0,0,0,0,No Failure,0
165,M15024,M,298.5,308.3,1240,43.6,5,0,0,0,0,0,No Failure,0
166,L47345,L,298.5,308.4,1533,26.0,8,0,0,0,0,0,No Failure,0
167,H29580,H,298.4,308.2,1412,32.6,10,0,0,0,0,0,No Failure,0
168,H29581,H,298.4,308.3,1258,42.9,15,0,0,0,0,0,No Failure,0
169,L47348,L,298.4,308.3,1233,62.3,20,0,0,0,0,0,No Failure,0
170,L47349,L,298.4,308.3,1118,59.1,22,0,0,0,0,0,No Failure,0
171,M15030,M,298.4,308.2,1410,35.0,24,0,0,0,0,0,No Failure,0
172,L47351,L,298.2,308.1,1262,50.8,27,0,0,0,0,0,No Failure,0
173,M15032,M,298.1,308.0,1724,20.8,29,0,0,0,0,0,No Failure,0
174,M15033,M,298.2,308.0,1391,33.7,32,0,0,0,0,0,No Failure,0
175,L47354,L,298.2,308.1,1106,58.3,35,0,0,0,0,0,No Failure,0
176,L47355,L,298.2,308.1,1182,43.5,37,0,0,0,0,0,No Failure,0
177,L47356,L,298.2,308.1,1418,34.7,39,0,0,0,0,0,No Failure,0
178,L47357,L,298.2,308.2,1788,21.4,41,0,0,0,0,0,No Failure,0
179,L47358,L,298.2,308.2,1236,50.2,43,0,0,0,0,0,No Failure,0
180,L47359,L,298.2,308.3,1104,49.8,45,0,0,0,0,0,No Failure,0
181,L47360,L,298.2,308.3,1275,49.9,47,0,0,0,0,0,No Failure,0
182,H29595,H,298.2,308.3,1624,24.2,49,0,0,0,0,0,No Failure,0
183,M15042,M,298.1,308.2,1142,48.1,54,0,0,0,0,0,No Failure,0
184,L47363,L,298.1,308.2,1285,40.7,57,0,0,0,0,0,No Failure,0
185,L47364,L,298.2,308.2,1467,30.6,59,0,0,0,0,0,No Failure,0
186,L47365,L,298.2,308.2,1246,38.2,61,0,0,0,0,0,No Failure,0
187,L47366,L,298.1,308.3,1101,56.0,63,0,0,0,0,0,No Failure,0
188,L47367,L,298.2,308.4,1179,43.1,65,0,0,0,0,0,No Failure,0
189,L47368,L,298.3,308.5,1406,33.6,67,0,0,0,0,1,RNF,1
190,M15049,M,298.3,308.4,1339,43.4,69,0,0,0,0,0,No Failure,0
191,L47370,L,298.2,308.4,1277,49.9,72,0,0,0,0,0,No Failure,0
192,L47371,L,298.2,308.4,1466,34.6,74,0,0,0,0,0,No Failure,0
193,H29606,H,298.2,308.4,1198,51.8,76,0,0,0,0,0,No Failure,0
194,H29607,H,298.2,308.4,1478,34.6,81,0,0,0,0,0,No Failure,0
195,M15054,M,298.2,308.5,2478,10.7,86,0,0,1,0,0,PWF,1
196,L47375,L,298.3,308.5,1253,42.9,89,0,0,0,0,0,No Failure,0
197,H29610,H,298.3,308.6,1232,49.5,91,0,0,0,0,0,No Failure,0
198,M15057,M,298.4,308.6,1327,40.9,96,0,0,0,0,0,No Failure,0
199,L47378,L,298.4,308.7,1388,35.0,99,0,0,0,0,0,No Failure,0
200,L47379,L,298.4,308.6,1233,47.1,101,0,0,0,0,0,No Failure,0
201,L47380,L,298.4,308.6,1409,35.0,103,0,0,0,0,0,No Failure,0
202,L47381,L,298.3,308.5,1375,41.2,105,0,0,0,0,0,No Failure,0
203,M15062,M,298.4,308.5,1436,35.7,107,0,0,0,0,0,No Failure,0
204,L47383,L,298.4,308.5,1290,37.9,110,0,0,0,0,0,No Failure,0
205,L47384,L,298.4,308.5,1541,32.8,112,0,0,0,0,0,No Failure,0
206,M15065,M,298.5,308.6,1144,53.0,114,0,0,0,0,0,No Failure,0
207,L47386,L,298.5,308.7,1409,35.3,117,0,0,0,0,0,No Failure,0
208,M15067,M,298.4,308.7,1221,60.7,119,0,0,0,0,0,No Failure,0
209,L47388,L,298.4,308.6,1391,36.7,122,0,0,0,0,0,No Failure,0
210,L47389,L,298.4,308.6,1277,44.0,124,0,0,0,0,0,No Failure,0
211,L47390,L,298.4,308.7,1323,36.1,126,0,0,0,0,0,No Failure,0
212,L47391,L,298.5,308.7,1375,33.9,128,0,0,0,0,0,No Failure,0
213,H29626,H,298.4,308.7,1144,52.9,130,0,0,0,0,0,No Failure,0
214,L47393,L,298.4,308.7,1186,44.9,135,0,0,0,0,0,No Failure,0
215,M15074,M,298.3,308.6,1389,37.1,137,0,0,0,0,0,No Failure,0
216,L47395,L,298.3,308.6,1348,40.3,140,0,0,0,0,0,No Failure,0
217,L47396,L,298.3,308.6,1299,38.3,142,0,0,0,0,0,No Failure,0
218,L47397,L,298.3,308.5,1464,31.6,144,0,0,0,0,0,No Failure,0
219,L47398,L,298.3,308.6,1247,38.1,146,0,0,0,0,0,No Failure,0
220,M15079,M,298.3,308.5,1234,46.2,148,0,0,0,0,0,No Failure,0
221,L47400,L,298.3,308.5,1216,52.7,151,0,0,0,0,0,No Failure,0
222,H29635,H,298.4,308.5,1627,24.3,153,0,0,0,0,0,No Failure,0
223,L47402,L,298.4,308.6,1104,45.0,158,0,0,0,0,0,No Failure,0
224,L47403,L,298.4,308.6,1369,34.4,160,0,0,0,0,0,No Failure,0
225,L47404,L,298.3,308.6,1384,29.3,162,0,0,0,0,0,No Failure,0
226,L47405,L,298.3,308.5,1162,53.8,164,0,0,0,0,0,No Failure,0
227,L47406,L,298.3,308.4,1129,49.2,166,0,0,0,0,0,No Failure,0
228,L47407,L,298.3,308.5,1339,36.1,168,0,0,0,0,0,No Failure,0
229,M15088,M,298.3,308.5,1429,37.1,170,0,0,0,0,0,No Failure,0
230,L47409,L,298.3,308.5,1338,32.2,173,0,0,0,0,0,No Failure,0
231,L47410,L,298.3,308.6,1370,34.8,175,0,0,0,0,0,No Failure,0
232,L47411,L,298.3,308.4,1208,43.1,177,0,0,0,0,0,No Failure,0
233,L47412,L,298.2,308.4,1224,47.6,179,0,0,0,0,0,No Failure,0
234,L47413,L,298.2,308.4,1312,34.9,181,0,0,0,0,0,No Failure,0
235,L47414,L,298.2,308.4,1278,42.9,183,0,0,0,0,0,No Failure,0
236,M15095,M,298.1,308.3,1480,33.7,185,0,0,0,0,0,No Failure,0
237,L47416,L,298.1,308.3,1295,38.7,188,0,0,0,0,0,No Failure,0
238,M15097,M,298.0,308.1,1352,36.6,190,0,0,0,0,0,No Failure,0
239,L47418,L,297.9,308.1,1193,50.3,193,0,0,0,0,0,No Failure,0
240,L47419,L,298.0,308.2,1411,30.6,195,0,0,0,0,0,No Failure,0
241,M15100,M,298.0,308.1,1139,51.6,197,0,0,0,0,0,No Failure,0
242,L47421,L,298.0,308.1,1577,24.3,200,1,0,0,0,0,TWF,1
243,L47422,L,298.0,308.2,1148,58.8,202,1,0,0,1,0,TWF,1
244,L47423,L,298.0,308.2,1242,44.1,204,1,0,0,0,0,TWF,1
245,M15104,M,298.0,308.2,1195,49.1,206,1,0,0,0,0,TWF,1
246,M15105,M,297.9,308.1,1427,31.4,209,1,0,0,0,0,TWF,1
247,L47426,L,297.9,308.1,1385,33.5,212,1,0,0,0,0,TWF,1
248,L47427,L,298.0,308.2,1269,45.5,214,1,0,0,0,0,TWF,1
249,L47428,L,298.0,308.3,1162,56.8,216,1,0,0,1,0,TWF,1
250,L47429,L,298.0,308.3,1205,56.2,218,1,0,0,1,0,TWF,1
251,L47430,L,298.0,308.3,1462,32.7,0,0,0,0,0,0,No Failure,0
252,M15111,M,298.0,308.2,1266,42.6,2,0,0,0,0,0,No Failure,0
253,L47432,L,298.0,308.2,1420,35.8,5,0,0,0,0,0,No Failure,0
254,L47433,L,298.0,308.2,1157,48.2,7,0,0,0,0,0,No Failure,0
255,L47434,L,298.0,308.2,1314,37.9,9,0,0,0,0,0,No Failure,0
256,L47435,L,298.0,308.2,1289,40.4,11,0,0,0,0,0,No Failure,0
257,L47436,L,298.1,308.3,1131,63.0,13,0,0,0,0,0,No Failure,0
258,L47437,L,298.0,308.0,1415,29.5,15,0,0,0,0,0,No Failure,0
259,L47438,L,298.1,308.2,1282,37.9,17,0,0,0,0,0,No Failure,0
260,M15119,M,298.1,308.2,1220,63.9,19,0,0,0,0,0,No Failure,0
261,M15120,M,298.2,308.3,1322,49.1,22,0,0,0,0,0,No Failure,0
262,L47441,L,298.1,308.2,1454,32.1,25,0,0,0,0,0,No Failure,0
263,M15122,M,298.1,308.2,1536,26.8,27,0,0,0,0,0,No Failure,0
264,M15123,M,298.0,308.1,1387,32.3,30,0,0,0,0,0,No Failure,0
265,L47444,L,298.1,308.2,1190,47.5,33,0,0,0,0,0,No Failure,0
266,L47445,L,298.0,308.1,1254,37.1,35,0,0,0,0,0,No Failure,0
267,H29680,H,298.0,308.1,1240,43.7,37,0,0,0,0,0,No Failure,0
268,L47447,L,297.9,308.0,1754,21.1,42,0,0,0,0,0,No Failure,0
269,H29682,H,297.9,308.0,1600,24.8,44,0,0,0,0,0,No Failure,0
270,L47449,L,298.0,308.0,1324,37.0,49,0,0,0,0,0,No Failure,0
271,H29684,H,298.0,308.0,1320,39.6,51,0,0,0,0,0,No Failure,0
272,M15131,M,298.1,308.1,1252,40.8,56,0,0,0,0,0,No Failure,0
273,L47452,L,298.1,308.1,1284,40.4,59,0,0,0,0,0,No Failure,0
274,L47453,L,298.1,308.0,1226,46.0,61,0,0,0,0,0,No Failure,0
275,L47454,L,298.1,308.0,1452,28.5,63,0,0,0,0,0,No Failure,0
276,L47455,L,298.0,308.0,1201,54.7,65,0,0,0,0,0,No Failure,0
277,M15136,M,298.0,307.9,1550,26.6,67,0,0,0,0,0,No Failure,0
278,H29691,H,298.0,308.0,1279,50.7,70,0,0,0,0,0,No Failure,0
279,M15138,M,298.0,308.0,1420,29.4,75,0,0,0,0,0,No Failure,0
280,L47459,L,298.0,308.1,1619,23.4,78,0,0,0,0,0,No Failure,0
281,M15140,M,298.1,308.1,1256,43.7,80,0,0,0,0,0,No Failure,0
282,L47461,L,298.1,308.0,1426,36.5,83,0,0,0,0,0,No Failure,0
283,M15142,M,298.1,308.1,1190,49.8,85,0,0,0,0,0,No Failure,0
284,L47463,L,298.2,308.2,1269,43.0,88,0,0,0,0,0,No Failure,0
285,L47464,L,298.2,308.3,1851,19.2,90,0,0,0,0,0,No Failure,0
286,L47465,L,298.2,308.3,1368,36.0,92,0,0,0,0,0,No Failure,0
287,L47466,L,298.2,308.3,1389,33.2,94,0,0,0,0,0,No Failure,0
288,L47467,L,298.2,308.3,1605,31.6,96,0,0,0,0,0,No Failure,0
289,H29702,H,298.2,308.4,1185,42.2,98,0,0,0,0,0,No Failure,0
290,L47469,L,298.1,308.4,1236,46.7,103,0,0,0,0,0,No Failure,0
291,L47470,L,298.1,308.4,1238,45.6,105,0,0,0,0,0,No Failure,0
292,L47471,L,298.0,308.3,1273,42.6,107,0,0,0,0,0,No Failure,0
293,L47472,L,298.1,308.4,1135,40.2,109,0,0,0,0,0,No Failure,0
294,H29707,H,298.1,308.5,1192,44.8,111,0,0,0,0,0,No Failure,0
295,M15154,M,298.1,308.5,1172,51.1,116,0,0,0,0,0,No Failure,0
296,M15155,M,298.1,308.6,1516,30.7,119,0,0,0,0,0,No Failure,0
297,L47476,L,298.0,308.5,1195,46.2,122,0,0,0,0,0,No Failure,0
298,L47477,L,298.0,308.5,1513,25.3,124,0,0,0,0,0,No Failure,0
299,H29712,H,297.9,308.5,1929,18.7,126,0,0,0,0,0,No Failure,0
300,M15159,M,297.8,308.3,1367,35.6,131,0,0,0,0,0,No Failure,0
301,L47480,L,297.8,308.4,1422,38.3,134,0,0,0,0,0,No Failure,0
302,L47481,L,297.7,308.4,1540,27.1,136,0,0,0,0,0,No Failure,0
303,H29716,H,297.8,308.4,1312,35.1,138,0,0,0,0,0,No Failure,0
304,M15163,M,297.8,308.4,1279,43.5,143,0,0,0,0,0,No Failure,0
305,L47484,L,297.8,308.4,1537,27.5,146,0,0,0,0,0,No Failure,0
306,L47485,L,297.8,308.4,1929,19.2,148,0,0,0,0,0,No Failure,0
307,L47486,L,297.8,308.4,1174,47.1,150,0,0,0,0,0,No Failure,0
308,M15167,M,297.8,308.4,1379,36.6,152,0,0,0,0,0,No Failure,0
309,L47488,L,297.9,308.5,1105,47.2,155,0,0,0,0,0,No Failure,0
310,M15169,M,297.9,308.5,1249,40.8,157,0,0,0,0,0,No Failure,0
311,H29724,H,298.0,308.6,1326,41.8,160,0,0,0,0,0,No Failure,0
312,M15171,M,298.0,308.6,1253,44.1,165,0,0,0,0,0,No Failure,0
313,L47492,L,297.9,308.6,1268,36.0,168,0,0,0,0,0,No Failure,0
314,L47493,L,298.0,308.6,1113,50.8,170,0,0,0,0,0,No Failure,0
315,M15174,M,297.9,308.5,1100,53.0,172,0,0,0,0,0,No Failure,0
316,L47495,L,297.9,308.4,1446,40.6,175,0,0,0,0,0,No Failure,0
317,L47496,L,297.8,308.4,1514,33.2,177,0,0,0,0,0,No Failure,0
318,L47497,L,297.8,308.4,1485,28.4,179,0,0,0,0,0,No Failure,0
319,L47498,L,297.8,308.4,1312,39.9,181,0,0,0,0,0,No Failure,0
320,L47499,L,297.8,308.4,1412,32.1,183,0,0,0,0,0,No Failure,0
321,H29734,H,297.8,308.4,1350,38.2,185,0,0,0,0,0,No Failure,0
322,L47501,L,297.8,308.4,1318,32.5,190,0,0,0,0,0,No Failure,0
323,L47502,L,297.8,308.5,1248,40.0,192,0,0,0,0,0,No Failure,0
324,L47503,L,297.8,308.5,1361,46.3,194,0,0,0,0,0,No Failure,0
325,M15184,M,297.8,308.5,1288,41.9,196,0,0,0,0,0,No Failure,0
326,L47505,L,297.8,308.5,1499,27.8,199,0,0,0,0,0,No Failure,0
327,L47506,L,297.7,308.5,1301,41.4,201,1,0,0,0,0,TWF,1
328,L47507,L,297.7,308.5,1173,56.7,203,1,0,0,1,0,TWF,1
329,H29742,H,297.6,308.4,1503,31.4,205,1,0,0,0,0,TWF,1
